"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Institution","Publisher","Book title","Proceedings title","Date published","ISBN","ISSN","URLs","DOI","PMID","Arxiv ID","PMC ID","Abstract","Keywords","Notes","Archive prefix","Eprint ID"
"Journal Article","Punia R,Kumar L,Mujahid M,Rohilla R","Computer vision and radiology for COVID-19 detection","2020 International Conference for Emerging Technology, INCET 2020","2020","","","","","ieeexplore.ieee.org","","","2020","","","http://dx.doi.org/10.1109/INCET49848.2020.9154088","10.1109/INCET49848.2020.9154088","","","","COVID-19 is spreading rapidly throughout the world. As of 14 April 2020, 128, 000 people died of COVID-19, while 1.99 million cases in 210 countries and territories were reported in 219.747 cases. As the virus spreads at a very high rate, there is a huge shortage of medical testing kits all over the world. The respiratory system is the part of the human body most affected by the virus, so the use of X-rays of the chest may prove to be a more efficient way than the thermal screening of the human body. In this paper, we are trying to develop a method that uses radiology, i.e. X-rays for detecting the novel coronavirus. Along with the paper, we also release a dataset for the research community and further development extracted from various medical research hospital facilities treating COVID-19 patients.","COVID-19,Computer Vision,Radiology","Cited By (since 2020): 37","",""
"Journal Article","Sánchez-Valerio MR,Mohamed-Noriega K,Zamora-Ginez I,Duarte BG,Vallejo-Ruiz V","Dry eye disease association with computer exposure time among subjects with computer vision syndrome","Clinical Ophthalmology","2020","14","","4311-4317","","Taylor &Francis","","","2020","","1177-5483","http://dx.doi.org/10.2147/OPTH.S252889","10.2147/OPTH.S252889","","","","Purpose: To assess the time of exposure to the computer and dry eye disease (DED) in subjects with computer vision syndrome (CVS). Methods: A cross-sectional study was conducted in office workers, computer users of both sexes, with an age range of 18–45 years without comorbidities; we included 108 subjects divided into 3 groups according to the time of computer exposure in hours per day (H/D): 8 (n = 39). A specific questionnaire was applied to them on the exposure time and the type of visual display terminal (VDT) used, as well as the computer vision symptoms scale (CVSS17). DED was diagnosed with the Ocular Surface Disease Index (OSDI). Ocular surface damage and signs of DED were evaluated with the tear rupture time test (TBUT), the integrity of the ocular surface by ocular surface staining (OSS) and the production of the aqueous basal tear film using the Schirmer test. Results: Average computer exposure time, measured differently, was positively correlated with DED development. The computer exposure time measured in hours per year and TBUT showed a significant negative correlation (p <0.001) (rho −0.463). Years of computer exposure and staining of the ocular surface showed a significant positive correlation (p <0 0.001; rho 0.404). The accumu-lated exposure time was negatively correlated with TBUT (p <0.001; rho −0.376) and positively with OSS (p <0.001; rho 0.433). Schirmer test did not correlate with computer exposure time. Conclusion: The prolonged time of exposure to the computer in subjects with CVS was significantly correlated with the DED tests, in the different ways of measuring it; but not with the Schirmer test.","Computer vision syndrome,Dry eye disease","Cited By (since 2020): 43","",""
"Conference Paper","Jain Y,Gandhi H,Burte A,Vora A","Mental and Physical Health Management System Using ML, Computer Vision and IoT Sensor Network","","2020","","","786-791","IEEE","","","Proceedings of the 4th International Conference on Electronics, Communication and Aerospace Technology, ICECA 2020","2020","9781728163871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9297447;http://dx.doi.org/10.1109/ICECA49313.2020.9297447","10.1109/ICECA49313.2020.9297447","","","","Previously, healthcare management systems were particularly focused on physical health and disregarded the mental health. With technology that encompass all spheres of life, the benefits of technology in healthcare remain unfathomable. A person's emotion, body temperature and heart rate can provide insightful information on both mind and body. This paper demonstrates a complete healthcare management system that considers both physical as well as mental health. IoT sensor network and Arduino UNO is used to collect a person's body temperature and heart rate and simultaneously stored in a database. The paper also includes an emotion recognition unit that is built using the MiniXception convolutional neural network architecture to keep a track of the person's emotion. A natural language processing chatbot has been employed to enable a virtual doctor for the user and help the user to provide a preliminary diagnosis. Furthermore, the tools like HTMI5 and CSS have been employed to build the user interface. The data obtained is then stored using MySQL database service. The results of this implementation indicates that the proposed system can reduce the workload for doctors, to be more aware of their physical and mental health and lastly the proposed methodology will make healthcare to be more accessible.","Arduino UNO,Chatbot,Image processing,IoT,convolutional neural network","","",""
"Miscellaneous","Kakani V,Nguyen H,Kumar BP,Kim H,Pasupuleti VR","A critical review on computer vision and artificial intelligence in food industry","","2020","2","","","","Elsevier","Journal of Agriculture and Food Research","","2020","","2666-1543","https://www.sciencedirect.com/science/article/pii/S2666154320300144;http://dx.doi.org/10.1016/j.jafr.2020.100033","10.1016/j.jafr.2020.100033","","","","Emerging technologies such as computer vision and Artificial Intelligence (AI) are estimated to leverage the accessibility of big data for active training and yielding operational real time smart machines and predictable models. This phenomenon of applying vision and learning methods for the improvement of food industry is termed as computer vision and AI driven food industry. This review contributes to provide an insight into state-of-the-art AI and computer vision technologies that can assist farmers in agriculture and food processing. This paper investigates various scenarios and use cases of machine learning, machine vision and deep learning in global perspective with the lens of sustainability. It explains the increasing demand towards the AgTech industry using computer vision and AI which might be a path towards sustainable food production to feed the future. Also, this review tosses some implications regarding challenges and recommendations in inclusion of technologies in real time farming, substantial global policies and investments. Finally, the paper discusses the possibility of using Fourth Industrial Revolution [4.0 IR] technologies such as deep learning and computer vision robotics as a key for sustainable food production.","Artificial intelligence,Autonomous navigation,Computer vision,Sustainable food supply","Cited By (since 2020): 168","",""
"Journal Article","Paul A,Ghosh S,Das AK,Goswami S,Das Choudhury S,Sen S","A Review on Agricultural Advancement Based on Computer Vision and Machine Learning","Advances in Intelligent Systems and Computing","2020","937","","567-581","","Springer","","","2020","","2194-5365","http://dx.doi.org/10.1007/978-981-13-7403-6_50","10.1007/978-981-13-7403-6_50","","","","The importance of agriculture in modern society need not be overstated. In order to meet the huge requirements of food and to mitigate, the conventional problems of cropping smart and sustainable agriculture have emerged over the conventional agriculture. From computational perspective, computer vision and machine learning techniques have been applied in many aspects of human and social life, and agriculture is not also an exception. This review paper gives an overview of machine learning and computer vision techniques which are inherently associated with this domain. A summary of the works highlighting different seeds, crops, fruits with the country is also enclosed. The paper also tries to give an analysis, which can help researchers to look at some relevant problems in the context of India.","Agriculture,Computer vision,Machine learning,Plant phenotyping","Cited By (since 2020): 27","",""
"Miscellaneous","Tripathi MK,Maktedar DD","A role of computer vision in fruits and vegetables among various horticulture products of agriculture fields: A survey","","2020","7","2","183-203","","Elsevier","Information Processing in Agriculture","","2020","","2214-3173","https://www.sciencedirect.com/science/article/pii/S2214317318303834;http://dx.doi.org/10.1016/j.inpa.2019.07.003","10.1016/j.inpa.2019.07.003","","","","Computer vision is a consistent and advanced technique for image processing, with the propitious outcome, and enormous potential. A computer vision has been strongly adopted in the heterogeneous domain including agriculture. During the study of existing research on the role of computer vision in fruits and vegetables among various horticulture products of agriculture fields it is noticed that, the existing survey paper has not focused properly on mathematical framework, feature descriptor, defect detection on multiple datasets of fruits and vegetables elaborately. This has motivated us to undertake an extensive survey. In this paper, we examine the paper broadly related to fruits and vegetables among various horticulture products of agriculture fields, specific model, data pre-processing, data analysis method and overall value of performance accuracy by using a particular performance metric. Moreover, we study the different type of disease present in various fruit and vegetable. We have also focused on the comparison of different machine learning approach with respect to different performance metrics on the same dataset. Thus, we have found that among all existing machine learning techniques SVM give better classification accuracy. A generalized framework to grade the quality and defect detection of multiple fruits and vegetables is also proposed in this survey. This paper covers the survey of ninety-eight papers closely related to computer vision in the agricultural field. By the survey, we have found that computer vision plays an important role and has a large potential to address the challenges related to the agricultural fields.","Agriculture,Computer vision,Data-analysis,Defect detection,Descriptor,Monitoring,Pre-processing,Survey","Cited By (since 2020): 79","",""
"Journal Article","Gazzah S,Bencharef O","A Survey on how computer vision can response to urgent need to contribute in COVID-19 pandemics","2020 International Conference on Intelligent Systems and Computer Vision, ISCV 2020","2020","","","","","ieeexplore.ieee.org","","","2020","","","http://dx.doi.org/10.1109/ISCV49265.2020.9204043","10.1109/ISCV49265.2020.9204043","","","","The coronavirus first outbreak in Wuhan city of China by December 2019. Due to its highly contagious power, they spread promptly in the four continents. Moreover, it devastating our daily lives and cause huge economic damage. Therefore, it is urgent to detect the positive cases at the earliest and put then under isolation. Automatic virus detection using Machine Learning will be a valuable contribution to prevent the spread of this epidemic. The purpose of this paper is to present short reviews on the coronavirus detection. In reviewing the existing works, we summarized and compared some related works performed on a collection of CT and X-ray images provided from infected patients. We conclude the paper with some discussions on how computer vision can response to urgent need to contribute in pandemics and to investigate many aspects of new viral replication and pathogenesis.","CNN,COVID-19,CT image,Computer vision,X-ray image,coronavirus detection,deep learning","Cited By (since 2020): 14","",""
"Journal Article","Singh U,Srivastava A,Chauhan D,Singh A","Computer Vision Technique for Detection of Grape Esca (Black Measles) Disease from Grape Leaf Samples","2020 International Conference on Contemporary Computing and Applications, IC3A 2020","2020","","","110-115","","ieeexplore.ieee.org","","","2020","","","http://dx.doi.org/10.1109/IC3A48958.2020.233281","10.1109/IC3A48958.2020.233281","","","","Grape Cultivation requires a periodic and preventive monitoring and adoption of diagnosis mechanisms for the management of diseases and for reducing the aesthetic and economic damages which are induced by the plant diseases. Grapevine Measles, also called Esca, Black Measles or Spanish Measles, is one of cataclysmic disease found in grape plant. This paper proposes an automatic computer vision method to discover the Black Measles disease from the image samples of grape leaves. Multi-channel analysis is performed to metamorphose the leaves from backdrop, followed by the identification and subjugation of the disease affected portion in the leaf image for diagnosis. Global Thresholding is followed by some mathematical morphological operations in order to precisely decline the noisy pixels. Statistical features extraction is performed and fed to a SVM classifier. The propound algorithm successfully acknowledged the affected parts present in the grape leaf images and achieved an accuracy of 97. 2% which makes the proposed algorithm robust and systematized for identification of grape leaves diseases using image processing methods.","Features Extraction,Grape Esca (Black Measles),Metamorphose,SVM (Support Vector Machine)","Cited By (since 2020): 4","",""
"Miscellaneous","Tian H,Wang T,Liu Y,Qiao X,Li Y","Computer vision technology in agricultural automation —A review","","2020","7","1","1-19","","Elsevier","Information Processing in Agriculture","","2020","","2214-3173","https://www.sciencedirect.com/science/article/pii/S2214317319301751;http://dx.doi.org/10.1016/j.inpa.2019.09.006","10.1016/j.inpa.2019.09.006","","","","Computer vision is a field that involves making a machine “see”. This technology uses a camera and computer instead of the human eye to identify, track and measure targets for further image processing. With the development of computer vision, such technology has been widely used in the field of agricultural automation and plays a key role in its development. This review systematically summarizes and analyzes the technologies and challenges over the past three years and explores future opportunities and prospects to form the latest reference for researchers. Through the analyses, it is found that the existing technology can help the development of agricultural automation for small field farming to achieve the advantages of low cost, high efficiency and high precision. However, there are still major challenges. First, the technology will continue to expand into new application areas in the future, and there will be more technological issues that need to be overcome. It is essential to build large-scale data sets. Second, with the rapid development of agricultural automation, the demand for professionals will continue to grow. Finally, the robust performance of related technologies in various complex environments will also face challenges. Through analysis and discussion, we believe that in the future, computer vision technology will be combined with intelligent technology such as deep learning technology, be applied to every aspect of agricultural production management based on large-scale datasets, be more widely used to solve the current agricultural problems, and better improve the economic, general and robust performance of agricultural automation systems, thus promoting the development of agricultural automation equipment and systems in a more intelligent direction.","Agricultural automation,Computer vision,Image processing,Intelligent detection","Cited By (since 2020): 270","",""
"Miscellaneous","Vinitha V,Velantina V","Covid-19 Facemask Detection With Deep Learning and Computer Vision","","2020","07","08","3127-3132","","academia.edu","International Research Journal of Engineering and Technology (IRJET)","","2020","","","www.irjet.net","","","","","The corona virus COVID-19 pandemic is causing a pandemics, and to classify vulnerable populations.The global health crisis so the effective protection methods is provision of healthcare needs funding for emerging wearing a face mask in public areas according to the World technology such as artificial intelligence, IoT, big data and Health Organization (WHO). The COVID-19 pandemic forced machine learning to tackle and predict new diseases. In governments across the world to impose lockdowns to prevent order to better understand infection rates and to trace and virus transmissions. Reports indicate that wearing face masks quickly detect infections, the AI's power is being exploited to while at work clearly reduces the risk of transmission. An address the Covid-19 pandemic. People are forced by laws to efficient and economic approach of using AI to create a safe wear face masks in public in many countries. These rules and environment in a manufacturing setup. A hybrid model using laws were developed as an action to the exponential growth deep and classical machine learning for face mask detection in cases and deaths in many areas. However, the process of will be presented. A face mask detection dataset consists of monitoring large groups of people is becoming more with mask and without mask images , we are going to use difficult. The monitoring process involves the detection of OpenCV to do real-time face detection from a live stream via anyone who is not wearing a face mask. our webcam. We will use the dataset to build a COVID-19 face mask detector with computer vision using Python, OpenCV, Here we introduce a mask face detection model that is based and Tensor Flow and Keras. Our goal is to identify whether the on computer vision and deep learning. The proposed model person on image/video stream is wearing a face mask or not can be integrated with surveillance cameras to impede the with the help of computer vision and deep learning.","computer vision,deep learning,opencv","Cited By (since 2021): 54","",""
"Journal Article","Sánchez-Brau M,Domenech-Amigot B,Brocal-Fernández F,Quesada-Rico JA,Seguí-Crespo M","Prevalence of Computer Vision Syndrome and Its Relationship with Ergonomic and Individual Factors in Presbyopic VDT Workers Using Progressive Addition Lenses","International journal of environmental research and public health","2020","17","3","","","mdpi.com","","","2020","","1660-4601","http://dx.doi.org/10.3390/ijerph17031003;https://www.ncbi.nlm.nih.gov/pubmed/32033372","10.3390/ijerph17031003","32033372","","","This cross-sectional study estimated computer vision syndrome (CVS) prevalence and analysed its relationship with video display terminal (VDT) exposure, as well as sociodemographic, refractive, environmental, and ergonomic characteristics in 109 presbyopic VDT workers wearing progressive addition lenses (PALs). Usual spectacles were measured with a lens analyser, and subjective refraction was performed by an optometrist. CVS was measured with the CVS-Q\textcopyright. VDT exposure was collected. Ergonomic evaluations were conducted in a normal working posture looking at the screen. Air temperature and relative humidity were measured (thermohygrometer), and illumination was measured (luxmeter). Descriptive analysis and differences in CVS prevalence, as a function of the explanatory variables, were performed (chi-square test). Multivariate logistic regression was used to identify factors associated with CVS (OR and 95% CI). The mean age was 54.0 ± 4.8 years, and 43.1% were women. The mean hours of VDT use at work was 6.5 ± 1.3 hours/day. The prevalence of CVS was 74.3%. CVS was significantly associated with women (OR 3.40; 95% CI, 1.12-10.33), non-neutral neck posture (OR 3.27; 95% CI, 1.03-10.41) and altered workplace lighting (OR 3.64; 95% CI, 1.22-10.81). Providing training and information to workers regarding the importance of adequate lighting and ergonomic postures during VDT use is advised to decrease CVS and increase workplace quality of life.","computer vision syndrome,ergonomics,presbyopia,progressive addition lenses,video display terminals,workplace","Cited By (since 2020): 53","",""
"Miscellaneous","Al Tawil L,Aldokhayel S,Zeitouni L,Qadoumi T,Hussein S,Ahamed SS","Prevalence of self-reported computer vision syndrome symptoms and its associated factors among university students","","2020","30","1","189-195","","journals.sagepub.com","European Journal of Ophthalmology","","2020","","1120-6721","https://journals.sagepub.com/doi/pdf/10.1177/1120672118815110;http://dx.doi.org/10.1177/1120672118815110;https://www.ncbi.nlm.nih.gov/pubmed/30474390","10.1177/1120672118815110","30474390","","","Purpose: To determine the prevalence of symptoms of computer vision syndrome and to identify its associated factors. The secondary objective was to assess knowledge and practices related to preventing computer vision syndrome symptoms. Methods: The data for this cross-sectional study were collected through a self-administered questionnaire distributed to 713 female undergraduates studying business and medicine in Saudi Arabia. The questionnaire included computer vision syndrome validated symptoms and factors associated with computer vision syndrome development. Results: The most common symptom due to prolonged computer use was neck or shoulder pain, reported by 82.2% of the subjects. Overall, 66.5% of the subjects suffered from headache and 51.5% from dry eyes, in mild, moderate, or severe form. Business students were 1.6 times as likely as medical students to suffer from computer vision syndrome (odds ratio = 1.65; 95% confidence interval: 1.22, 2.24). The use of electronic devices for more than 5 h (odds ratio = 1.52; 95% confidence interval: 1.07, 2.16) was also associated with experiencing computer vision syndrome symptoms. Regarding computer vision syndrome prevention, factors such as hours of use, screen distance, screen brightness, and room illumination showed statistically significant difference between the two groups (p < 0.0001). Conclusion: The prevalence of computer vision syndrome symptoms was significantly higher among business students, who reported lower awareness and poor practice measures of computer use recommendations. Relevant awareness campaigns focusing on the appropriate use of computers are highly recommended.","Computer vision syndrome,Saudi Arabia,electronic devices,university students,vision problems","Cited By (since 2020): 120","",""
"Miscellaneous","Williams S,Zhao Z,Hafeez A,Wong DC,Relton SD,Fang H,Alty JE","The discerning eye of computer vision: Can it measure Parkinson's finger tap bradykinesia?","","2020","416","","","","Elsevier","Journal of the Neurological Sciences","","2020","","1878-5883","https://www.sciencedirect.com/science/article/pii/S0022510X20303403;http://dx.doi.org/10.1016/j.jns.2020.117003;https://www.ncbi.nlm.nih.gov/pubmed/32645513","10.1016/j.jns.2020.117003","32645513","","","Objective: The worldwide prevalence of Parkinson's disease is increasing. There is urgent need for new tools to objectively measure the condition. Existing methods to record the cardinal motor feature of the condition, bradykinesia, using wearable sensors or smartphone apps have not reached large-scale, routine use. We evaluate new computer vision (artificial intelligence) technology, DeepLabCut, as a contactless method to quantify measures related to Parkinson's bradykinesia from smartphone videos of finger tapping. Methods: Standard smartphone video recordings of 133 hands performing finger tapping (39 idiopathic Parkinson's patients and 30 controls) were tracked on a frame-by-frame basis with DeepLabCut. Objective computer measures of tapping speed, amplitude and rhythm were correlated with clinical ratings made by 22 movement disorder neurologists using the Modified Bradykinesia Rating Scale (MBRS) and Movement Disorder Society revision of the Unified Parkinson's Disease Rating Scale (MDS-UPDRS). Results: DeepLabCut reliably tracked and measured finger tapping in standard smartphone video. Computer measures correlated well with clinical ratings of bradykinesia (Spearman coefficients): −0.74 speed, 0.66 amplitude, −0.65 rhythm for MBRS; −0.56 speed, 0.61 amplitude, −0.50 rhythm for MDS-UPDRS; −0.69 combined for MDS-UPDRS. All p <.001. Conclusion: New computer vision software, DeepLabCut, can quantify three measures related to Parkinson's bradykinesia from smartphone videos of finger tapping. Objective ‘contactless' measures of standard clinical examinations were not previously possible with wearable sensors (accelerometers, gyroscopes, infrared markers). DeepLabCut requires only conventional video recording of clinical examination and is entirely ‘contactless'. This next generation technology holds potential for Parkinson's and other neurological disorders with altered movements.","Artificial intelligence,Bradykinesia,Computer vision,DeepLabCut,Finger tapping,Parkinson's disease,Parkinsonism","Cited By (since 2020): 41","",""
"Journal Article","Shao H,Pu J,Mu J","Pig-posture recognition based on computer vision: Dataset and exploration","Animals","2021","11","5","","","mdpi.com","","","2021","","2076-2615","http://dx.doi.org/10.3390/ani11051295","10.3390/ani11051295","","","","Posture changes in pigs during growth are often precursors of disease. Monitoring pigs' behavioral activities can allow us to detect pathological changes in pigs earlier and identify the factors threatening the health of pigs in advance. Pigs tend to be farmed on a large scale, and manual observation by keepers is time consuming and laborious. Therefore, the use of computers to monitor the growth processes of pigs in real time, and to recognize the duration and frequency of pigs' pos-tural changes over time, can prevent outbreaks of porcine diseases. The contributions of this article are as follows: (1) The first human-annotated pig-posture-identification dataset in the world was established, including 800 pictures of each of the four pig postures: standing, lying on the stomach, lying on the side, and exploring. (2) When using a deep separable convolutional network to classify pig postures, the accuracy was 92.45%. The results show that the method proposed in this paper achieves adequate pig-posture recognition in a piggery environment and may be suitable for livestock farm applications.","Agricultural automation,Automated breeding,Computer vision,Pig posture,Posture recognition","Cited By (since 2021): 19","",""
"Journal Article","Deepan P,Sudha LR","Deep Learning Algorithm and Its Applications to IoT and Computer Vision","Studies in Big Data","2021","85","","223-244","","Springer","","","2021","","2197-6511","https://link.springer.com/chapter/10.1007/978-981-33-6400-4_11;http://dx.doi.org/10.1007/978-981-33-6400-4_11","10.1007/978-981-33-6400-4_11","","","","Deep learning, which is the next phase of machine learning in recent decades, has significantly changed the way in which computer systems interpret human-centric content such as images, video, speech and audio. Different models have been introduced based on learning techniques such as supervised, unsupervised, reinforcement, and it is expected to accelerate and create even more innovative models in the coming years. With the rise of the Internet of Things (IoT), many real-time applications collect data about people and their environment using IoT sensors and feed them into deep learning models to enhance the intelligence and the capabilities of an application, for offering better recommendations and service. Experimental results of most of these applications looks promising when compared with traditional machine learning approaches. So, the main objective of this chapter is to make a self-contained review of Deep Learning (DL) models, starting with the Convolutioanl Neural Network (CNN), Recurrent Neural Network (RNN), Long-Term Short Memory (LSTM), AutoEncoder (AE), Generative Adversarial Network (GAN) and Deep Reinforcement Learning (DRL). Additionally, for providing better understanding of the models and their efficiency, we have added recently developed DL tools or framework and their applications.","Adversarial network and encoder,Convolutional network,Deep learning,Internet of Things,Recurrent network","Cited By (since 2021): 3","",""
"Miscellaneous","Sood S,Singh H","Computer Vision and Machine Learning based approaches for Food Security: A Review","","2021","80","18","27973-27999","","Springer","Multimedia Tools and Applications","","2021","","1573-7721","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11042-021-11036-2&casa_token=UKlEhf0qt6wAAAAA:ks2wLk2sQii_Q98EM0MkyJVbtoWg4odwFbecMonHoagEfdFaX__dQU-vK8BEtbox9aRNOo8x74MJZSKly0U;http://dx.doi.org/10.1007/s11042-021-11036-2","10.1007/s11042-021-11036-2","","","","With the rapidly increase of population every day, it has become a major issue to fulfill everyone's need for food products (i.e., vegetables, fruits, milk, wheat, etc.) due to limited production of food products. Moreover, healthy food utilization among people is the foremost requirement. The major factors that affect the food system includes increasing food shortage, decreasing quality, wastage, and loss of food products, limited natural resources, etc. This article addresses the various computer vision and machine learning based techniques, used to minimize the aforementioned issues. Image processing has become an effective technique for the analysis of many research applications. This study intends to focus on analysis of image processing based applications in food products and agriculture field. Such applications help in decision making , disease prediction, classification, fruit sorting, soil quality measurement, etc. Moreover, a comprehensive review has been accomplished for various computer vision and statistical approaches used in food production and agricultural field and concludes that Deep Learning (DL) based approaches produce better results, specifically for image processing applications. Additionally, an effort has been made to provide a list of publicly available datasets for the related study.","Convolutional neural network,Deep learning,Food Ssecurity,Smart farming","Cited By (since 2021): 14","",""
"Miscellaneous","Esteva A,Chou K,Yeung S,Naik N,Madani A,Mottaghi A,Liu Y,Topol E,Dean J,Socher R","Deep learning-enabled medical computer vision","","2021","4","1","","","nature.com","npj Digital Medicine","","2021","","2398-6352","https://www.nature.com/articles/s41746-020-00376-2;http://dx.doi.org/10.1038/s41746-020-00376-2","10.1038/s41746-020-00376-2","","","","A decade of unprecedented progress in artificial intelligence (AI) has demonstrated the potential for many fields—including medicine—to benefit from the insights that AI techniques can extract from data. Here we survey recent progress in the development of modern computer vision techniques—powered by deep learning—for medical applications, focusing on medical imaging, medical video, and clinical deployment. We start by briefly summarizing a decade of progress in convolutional neural networks, including the vision tasks they enable, in the context of healthcare. Next, we discuss several example medical imaging applications that stand to benefit—including cardiology, pathology, dermatology, ophthalmology–and propose new avenues for continued work. We then expand into general medical video, highlighting ways in which clinical workflows can integrate computer vision to enhance care. Finally, we discuss the challenges and hurdles required for real-world clinical deployment of these technologies.","computer vision,machine perception,medicine","Cited By (since 2021): 354","",""
"Journal Article","Alguliyev R,Imamverdiyev Y,Sukhostat L,Bayramov R","Plant disease detection based on a deep model","Soft Computing","2021","25","21","13229-13242","","mdpi.com","","","2021","","1433-7479","http://dx.doi.org/10.1007/s00500-021-06176-4","10.1007/s00500-021-06176-4","","","","Careful monitoring of plant conditions and their diagnosis are necessary, but a human cannot control a large area of land where the crop grows. This paper proposes the solution of this problem. Early diagnosis and accurate detection of plant leaf diseases can prevent the spread of the disease. In the last decade, machine learning methods and image classification tools have been used to identify and diagnose plant diseases. This paper proposes an accurate approach to identify plant leaf diseases based on the deep convolutional neural network and gated recurrent units. The PlantVillage dataset of damaged and healthy plant leaves images is used. The proposed model is trained to identify common plant leaf diseases of 14 species. The experimental results are compared to other well-known models. This study shows that the proposed model based on deep learning provides the best solution in the diagnosis of plant diseases with high accuracy, and that the gated recurrent unit neural network considered as a classifier can improve the accuracy of the convolutional neural network model. The comparison results demonstrated that the proposed approach achieved higher performance than other models.","Deep learning,Machine learning,Plant disease identification,Plant leaves","Cited By (since 2021): 48","",""
"Miscellaneous","Jorquera-Chavez M,Fuentes S,Dunshea FR,Warner RD,Poblete T,Unnithan RR,Morrison RS,Jongman EC","Using imagery and computer vision as remote monitoring methods for early detection of respiratory disease in pigs","","2021","187","","","","Elsevier","Computers and Electronics in Agriculture","","2021","","0168-1699","https://www.sciencedirect.com/science/article/pii/S0168169921003008?casa_token=RgnnuTNkBR4AAAAA:3QZwWABoX6Ldd2r2fpgKo_mTtPJbI_5XMjmfVIKepAslgF65wgoW1edgIf_oPzZkHPOsD1hWo6rY;http://dx.doi.org/10.1016/j.compag.2021.106283","10.1016/j.compag.2021.106283","","","","Respiratory diseases in pigs impact the wellbeing of animals and increase the cost of production. One of the most appropriate approaches to minimizing these negative effects is the early detection of ill animals. The use of cameras coupled with computer-based techniques could assist the early detection of physiological changes in pigs when they are beginning to become ill and prior to exhibiting clinical signs. This study consisted of two experiments that aimed to (a) evaluate the use of computer-based techniques over RGB (red, green, and blue) and thermal infrared imagery to measure heart rate and respiration rate of pigs, and (b) to investigate whether eye-temperature, heart rate and respiration rate assessed remotely could be used to identify early signs of respiratory diseases in free-moving, and group-housed growing pigs in a commercial piggery. In the first experiment, the remotely-obtained heart rate and respiration rate were compared with the measures obtained with standard methods, showing positive correlations (r = 0.61 – 0.66; p < 0.05). In the second experiment, pigs were recorded by overhead cameras and the remotely-obtained physiological measures were analysed to identify whether physiological changes could be detected in sick pigs before clinical signs were observed. The changes in eye-temperature and heart rate remotely obtained showed clear differences between sick and healthy pigs two days before clinical signs were detected. While significant changes in respiration rate occurred the day before clinical signs of illness were identified. The results of the present study indicate the possible use of computer vision technique for constant animal monitoring and rapid detection of physiological changes related to illness in commercial pigs. Further research is recommended to continue the development, automatization, and commercial practicality of this novel technology.","Animal health,Animal monitoring,Contactless monitoring,Non-invasive methods,Physiological indicators","Cited By (since 2021): 14","",""
"Miscellaneous","Abrami A,Gunzler S,Kilbane C,Ostrand R,Ho B,Cecchi G","Automated computer vision assessment of hypomimia in parkinson disease: Proof-of-principle pilot study","","2021","23","2","","","jmir.org","Journal of Medical Internet Research","","2021","","1438-8871","https://www.jmir.org/2021/2/e21037/;http://dx.doi.org/10.2196/21037;https://www.ncbi.nlm.nih.gov/pubmed/33616535","10.2196/21037","33616535","","","Background: Facial expressions require the complex coordination of 43 different facial muscles. Parkinson disease (PD) affects facial musculature leading to “hypomimia” or “masked facies.” Objective: We aimed to determine whether modern computer vision techniques can be applied to detect masked facies and quantify drug states in PD. Methods: We trained a convolutional neural network on images extracted from videos of 107 self-identified people with PD, along with 1595 videos of controls, in order to detect PD hypomimia cues. This trained model was applied to clinical interviews of 35 PD patients in their on and off drug motor states, and seven journalist interviews of the actor Alan Alda obtained before and after he was diagnosed with PD. Results: The algorithm achieved a test set area under the receiver operating characteristic curve of 0.71 on 54 subjects to detect PD hypomimia, compared to a value of 0.75 for trained neurologists using the United Parkinson Disease Rating Scale-III Facial Expression score. Additionally, the model accuracy to classify the on and off drug states in the clinical samples was 63% (22/35), in contrast to an accuracy of 46% (16/35) when using clinical rater scores. Finally, each of Alan Alda's seven interviews were successfully classified as occurring before (versus after) his diagnosis, with 100% accuracy (7/7). Conclusions: This proof-of-principle pilot study demonstrated that computer vision holds promise as a valuable tool for PD hypomimia and for monitoring a patient's motor state in an objective and noninvasive way, particularly given the increasing importance of telemedicine.","Computer vision,Hypomimia,Parkinson disease,Telemedicine","Cited By (since 2021): 10","",""
"Journal Article","Aboneh T,Rorissa A,Srinivasagan R,Gemechu A","Computer Vision Framework for Wheat Disease Identification and Classification Using Jetson GPU Infrastructure","Technologies","2021","9","3","47","","mdpi.com","","","2021","","2227-7080","http://dx.doi.org/10.3390/technologies9030047","10.3390/technologies9030047","","","","Diseases have adverse effects on crop production and yield loss. Various diseases such as leaf rust, stem rust, and strip rust can affect yield quality and quantity for a studied area. In addition, manual wheat disease identification and interpretation is time-consuming and cumbersome. Currently, decisions related to plants mainly rely on the level of expertise in the domain. To resolve these challenges and to identify wheat disease as early as possible, we implemented different deep learning models such as Inceptionv3, Resnet50, and VGG16/19. This research was conducted in collaboration with Bishoftu Agricultural Research Institute, Ethiopia. Our main objective was to automate plant-disease identification using advanced deep learning approaches and image data. For the experiment, RGB image data were collected from the Bishoftu area. From the experimental results, the VGG19 model classified wheat disease with 99.38% accuracy.","agriculture,computer vision,deep learning model,wheat disease","Cited By (since 2021): 13","",""
